selection_index,timestamp,search_kind,search_id,status,no_reentry_statement
1,2012-10-15 13:00:00,RAY,330.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
1,2012-10-15 13:00:00,RAY,340.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
1,2012-10-15 13:00:00,RAY,350.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
1,2012-10-15 13:00:00,RAY,55.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
1,2012-10-15 13:00:00,RAY,105.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
1,2012-10-15 13:00:00,RAY,115.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
1,2012-10-15 13:00:00,RAY,125.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
1,2012-10-15 13:00:00,RAY,135.000000,RAY_UNBOUNDED_WITHIN_GUARD,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
1,2012-10-15 13:00:00,RAY,145.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
1,2012-10-15 13:00:00,RAY,155.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
1,2012-10-15 13:00:00,RAY,165.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
1,2012-10-15 13:00:00,RAY,235.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
1,2012-10-15 13:00:00,RAY,295.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
1,2012-10-15 13:00:00,RAY,305.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
1,2012-10-15 13:00:00,RAY,315.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
1,2012-10-15 13:00:00,RAY,325.000000,RAY_UNBOUNDED_WITHIN_GUARD,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
1,2012-10-15 13:00:00,RAY,335.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
1,2012-10-15 13:00:00,RAY,345.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
2,2011-12-15 05:30:00,AXIS,P13_POSITIVE,AXIS_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
2,2011-12-15 05:30:00,AXIS,P13_NEGATIVE,AXIS_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
2,2011-12-15 05:30:00,AXIS,P30_POSITIVE,AXIS_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
2,2011-12-15 05:30:00,AXIS,P30_NEGATIVE,AXIS_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
2,2011-12-15 05:30:00,RAY,0.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
2,2011-12-15 05:30:00,RAY,10.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
2,2011-12-15 05:30:00,RAY,20.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
2,2011-12-15 05:30:00,RAY,30.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
2,2011-12-15 05:30:00,RAY,40.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
2,2011-12-15 05:30:00,RAY,50.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
2,2011-12-15 05:30:00,RAY,60.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
2,2011-12-15 05:30:00,RAY,70.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
2,2011-12-15 05:30:00,RAY,80.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
2,2011-12-15 05:30:00,RAY,90.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
